id,name,category,score,fdc_id,usda_description,status
637e964eb9d9a209b1bea53bd4fefaaee3db,Cranberry,Obst,1.0,2094987,CRANBERRY,matched
11acf028ada466b5c76ae3ce9905cc41acbb,Cranberry (Bio),Obst,0.0,,,api_error:HTTPError
c9e0a2d7af342a33e2725d83a7cabc73edba,Cranberry (frisch),Obst,0.0,,,api_error:HTTPError
f46b11b6586dfc37c1600b7ac85a2f4382ec,Cranberry (reif),Obst,0.0,,,api_error:HTTPError
c529fc3c9617293c14dc17eb9cbe55b249ab,Cranberry (TK),Obst,0.75,2709280,Cranberry sauce,matched
35011cc9d7f81c9fd404000440767e060dd9,Currypulver,Gewürze,0.0,,,no_match
0c2aaef8e89833e06d048d9178ac1c8f2845,Dattel frisch,Obst,0.0,,,no_match
8731ad2b3d9a7f6e03def8b9e7173af6f8c2,Dattel frisch (Bio),Obst,0.0,,,no_match
823509d0583ac5868e17e545c21a455cb813,Dattel frisch (frisch),Obst,0.0,,,no_match
9aff8bf980f94baa978c9f012762e9d70336,Dattel frisch (reif),Obst,0.0,,,api_error:HTTPError
2937081f3536c25855c2db2cb1cf002f7439,Dattel frisch (TK),Obst,0.0,,,api_error:HTTPError
23d6264bbe5ff06d218bc06ea2dbef40b005,Dinkelbrot,Brot,0.0,,,no_match
91accb98a2f0ecc3c27980d6d509c7a0f1ab,Dinkelflocken,Getreide,0.0,,,no_match
f746159ffbd63316157330e0f7bbc6d96c65,Dorade,Fisch,0.0,,,no_match
7b88b7ec0ae3a5e6a799fef7da06daf71119,Edamame,Hülsenfrüchte,1.0,2550119,EDAMAME,matched
42c3a248b94f2874705bd71bfd5592d96426,Ei ganz,Eier,0.0,,,no_match
207a185a976d48cb8a7c3967513967f9c788,Ei gekocht,Eier,0.0,,,no_match
1de7c7f75cbbf0d1999161190f42460bfce0,Eigelb,Eier,0.0,,,no_match
211795a9c0c3004908b5b89b35d6ea90f8c2,Eiklar,Eier,0.0,,,no_match
bcb075f4a11b4307f4da6fcb9f1a2b4e3305,Eisbergsalat,Gemüse,0.0,,,no_match
527770bf93514b3f62df7be4b61d861a8269,Eisbergsalat (Bio),Gemüse,0.0,,,api_error:HTTPError
58af210769f341415182edf3d55a9c3065af,Eisbergsalat (gedaempft),Gemüse,0.0,,,no_match
192374593fd66d5d93bacda88dad52e44fb6,Eisbergsalat (gekocht),Gemüse,0.0,,,no_match
af209719bfd8160762ae88028c042d191d4b,Eisbergsalat (roh),Gemüse,0.0,,,api_error:HTTPError
a2b65c492b01012ffdb09f0debf425a98d1a,Eisbergsalat (TK),Gemüse,0.0,,,no_match
600f6bc274805a83876d4878a1bca1ffdd8b,Eiweissbrot,Brot,0.0,,,no_match
3d26d2565561eeb063d702834aaa7d6fb2ca,Emmentaler,Käse,0.7,2052004,EMMENTALER CHEESE,matched
d4b91dc9b2513ac2e55dbc80b40ebc1c644f,Entenbrust,Fleisch,0.0,,,no_match
37b26d852e33cae342ac5c03e6cc907e1cc6,Erbse getrocknet,Hülsenfrüchte,0.0,,,no_match
f5d0f32e91eb4798e852cde595da2af62b03,Erbse gruen,Gemüse,0.0,,,no_match
bc18bf31b6169ad789bdc6fb098791b07d17,Erbse gruen (Bio),Gemüse,0.0,,,no_match
7b91d45a9403e279c3110ec3eba87037b5b0,Erbse gruen (gedaempft),Gemüse,0.0,,,api_error:HTTPError
a8999fc7b4b4a582b86f83e1bc6e3db6d61a,Erbse gruen (gekocht),Gemüse,0.0,,,api_error:HTTPError
510d5a0e77bc1257c79c2eb8f054370263dd,Erbse gruen (roh),Gemüse,0.0,,,no_match
