id,name,category,score,fdc_id,usda_description,status,error_code,note
acabcd7325b205de32b5030109601791004d,dunkle Traube,Obst,0.25,2709325,"Grape juice, 100%",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
b9f9ed815f7ac7e1cd9879848fc0b3220dfe,dunkle Traube (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
baf4f9c6654cdf9a591133d1f832d22863a4,Dunkle Traube (frisch),Obst,0.25,2709325,"Grape juice, 100%",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
42c3a248b94f2874705bd71bfd5592d96426,Ei ganz,Eier,0.6667,172188,"Egg, whole, dried",matched,,
207a185a976d48cb8a7c3967513967f9c788,Ei gekocht,Eier,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
1de7c7f75cbbf0d1999161190f42460bfce0,Eigelb,Eier,0.9167,173428,"Egg, yolk, dried",matched,,
211795a9c0c3004908b5b89b35d6ea90f8c2,Eiklar,Eier,0.9167,2707334,Egg white sandwich,matched,,
bcb075f4a11b4307f4da6fcb9f1a2b4e3305,Eisbergsalat,Gemüse,0.8667,1937902,ICEBERG LETTUCE SHREDS,matched,,
527770bf93514b3f62df7be4b61d861a8269,Eisbergsalat (Bio),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
58af210769f341415182edf3d55a9c3065af,Eisbergsalat (gedaempft),Gemüse,0.6667,2346388,"Lettuce, iceberg, raw",matched,,
192374593fd66d5d93bacda88dad52e44fb6,Eisbergsalat (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
af209719bfd8160762ae88028c042d191d4b,Eisbergsalat (roh),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
a2b65c492b01012ffdb09f0debf425a98d1a,Eisbergsalat (TK),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
600f6bc274805a83876d4878a1bca1ffdd8b,Eiweißbrot,Brot,1.0,2384375,PROTEIN BREAD,matched,,
d4b91dc9b2513ac2e55dbc80b40ebc1c644f,Entenbrust,Fleisch,0.3333,174469,"Duck, wild, breast, meat only, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
37b26d852e33cae342ac5c03e6cc907e1cc6,Erbse getrocknet,Hülsenfrüchte,0.3333,2710056,Pea salad,weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
f5d0f32e91eb4798e852cde595da2af62b03,Erbse gruen,Gemüse,0.5,2709797,"Green peas, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
510d5a0e77bc1257c79c2eb8f054370263dd,Erbse gruen (roh),Gemüse,0.5,2709797,"Green peas, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
